Year,Armagh,Markree,Phoenix Park,Sheffield,Kilkenny,Birr,Roches Point
1,16.9,17.5,14,14.3,,13.9,14.4
2,14.4,15.55555556,14.5,12.5,,17.9,15
3,15.3,18.33333333,14.1,13.2,,16.8,13.3
4,19.2,20.16666667,17.8,19.2,,20.4,16.1
5,20,19.66666667,20.7,19.6,,19.6,15.6
6,17.3,16.72222222,17.2,20.3,,16.7,13.9
7,18.3,17.66666667,19.3,21.6,,17.9,18.3
8,18.4,18.05555556,19.2,19.1,,18.8,16.1
9,17.5,15.22222222,18.8,18.1,,17.6,18.3
10,19.2,19.66666667,18.2,17.9,,20.4,16.1
11,17.8,17.05555556,21.3,21.1,,20.4,16.7
12,20,19.94444444,21.1,21.6,,19.7,17.8
13,19.9,16.94444444,22.8,24.9,,21.4,17.2
14,20.4,19.61111111,24.8,22.2,,24.3,16.7
15,20.9,19.33333333,21.2,25.4,,22.1,18.9
16,25.8,26.77777778,22.7,25.2,,28.1,21.7
17,27.1,27.11111111,26.2,24.1,,27.4,21.1
18,28.1,26.44444444,24.5,26,,28.2,21.7
19,26.4,22.61111111,24.8,24.8,,28.2,22.8
20,19.3,23.11111111,17.8,17.5,,22.7,20.6
21,21.9,23.22222222,19.8,21.5,,21.9,20
22,25.6,26.05555556,22.9,21.4,,26,22.2
23,27.5,26.16666667,24.4,21.6,,28.7,26.1
24,26.7,27.22222222,23.2,22,,27.8,21.7
25,28.1,28.5,25,22.4,,28.7,21.7
26,26.9,23.44444444,24.3,23.9,33.3,29.3,22.2
27,21.3,18.11111111,24.1,26.8,,24.7,26.7
28,19.5,16.88888889,21,23.2,,22.7,22.2
29,21.1,17.77777778,21.4,21,,20.3,21.1
30,23.2,23.11111111,22.4,23.6,,23,21.7
